reasoning,company,job_title,location,domain,domain_specific_skills,work_model,min_experience,max_experience,number_of_employees,weeks_since_posting,min_salary,max_salary,no_of_applicants,company_type,key_responsibilities,technical_requirements,education,benefits_culture,unique_aspects,application_link,applicant_insights
"The job description provides details about a Data Engineering Associate position at Metyis. The information includes company overview, job responsibilities, required skills, experience level, and company culture. I've extracted the relevant information to populate the output fields.",Metyis,"Associate, Data Engineering","Gurgaon, Haryana, India",AI & Data,"SQL, Python, Scala, Big Data, Cloud Platforms (AWS, Azure, GCP), GIT, CI-CD",Hybrid,3,6,"1,001-5,000",1,,,100,"Business Consulting and Services company with 1,001-5,000 employees","Executing data engineering projects, diagnosing problems, processing structured and unstructured data, developing data processing codes, maintaining data solutions, communicating with clients, and collaborating with data science, reporting, and product development teams.","SQL, Python/Scala, Big Data knowledge, knowledge of cloud platforms (AWS, Azure, GCP), GIT, CI-CD.",Bachelors,"Collaborative environment with multidisciplinary experts, opportunity for growth and creativity, high level of responsibility and client interaction, and a focus on long-term partnerships.","Focus on long-term partnerships, embedded partnership model, and commitment to driving sustainable growth for clients.",,"52% of applicants have a Bachelor of Technology, and 62% are entry-level applicants."
"The job description provides details for a Quality Engineer position at Ameriprise Financial Services. I have extracted the relevant information to populate the requested fields, including company name, job title, location, experience level, salary, skills, and other relevant details. The information is parsed from the provided text, and reasonable assumptions are made where data is implicit.","Ameriprise Financial Services, LLC",Junior Quality Engineer,"Gurugram, Haryana, India",Financial Services,"SQL, ETL, Data warehousing, Business Intelligence, Data Modeling",Hybrid,1,3,"5,001-10,000",12,,,100,Large financial services company,"Contribute to an agile team by driving user story analysis and feature grooming, designing, and developing thorough test scripts. Write complex SQL queries against large datasets in AWS. Develop and maintain BDD test scenarios and regression plans. Participate in test development life cycle including requirements analysis and design. Business Intelligence testing involving the validation of DataMart, ODS, Data models and SSRS reports. Understand data flow and test strategy for ETL, Data warehouse and Business Intelligence testing. ETL testing of mapping, transformations and data pipeline. Write advanced SQL queries for ETL/data warehousing/Business Intelligence testing. Work with the team to continually improve test processes and practices. Document test results and defects and support defect triage and resolution.","SQL, AWS, BDD, ETL, Data warehousing, Business Intelligence, Alteryx, Selenium, Java, Python, Jira, xRay, DEVOPS, Continuous Integration, Continuous Development Environments, MS Word, MS PPT, MS Visio, MS PowerPoint",Bachelors,"Inclusive and collaborative culture, opportunities for professional development, and a focus on ethical conduct.",The role involves working with data-intensive financial applications and contributing to a team focused on quality assurance within a large financial services organization.,,"45% of applicants have a Bachelor of Technology, and 52% are entry-level applicants."
"The job description provides details about a Software Engineer II position at Tower Research Capital. The information includes company overview, job responsibilities, qualifications, benefits, and company culture. I've extracted the relevant information to populate the output fields.",Tower Research Capital,"Seniority: II, Title: Software Engineer, Role: Engineer","Gurgaon, Haryana, India",development,"Python, Java, SQL, NoSQL",Hybrid,2,5,"1,001-5,000",2,,,100,"Financial Services, 1,001-5,000 employees","Developing the firm’s Post Trade Platform tools - including reference data management, trade capture, reconciliation, P&L, trade cost management, surveillance, compliance and regulatory functions. Working with appropriate stakeholders to determine user requirements for a set of features. Working in collaboration with teams across the organization to develop reliable, scalable, and high-performance, software designs. Responsible for technological innovation in build-out of the new generation of middle office and back-office applications and processes.","Python, Java, shell scripts, linux system, SQL (i.e. MySQL, PostGres), NoSQL (i.e. MongoDB, ElasticSearch)",Bachelors,"Tower fosters a culture where smart, driven people thrive – without the egos. Open concept workplace, casual dress code, well-stocked kitchens. Benefits include generous paid time off, savings plans, hybrid working, free breakfast, lunch and snacks, wellness experiences, volunteer opportunities, social events, and workshops.","Collaborative and welcoming culture, diverse team, workplace that values both performance and enjoyment, no unnecessary hierarchy, no ego.",,"64% of applicants have a Bachelor of Technology, and 72% are entry level."
"The job description provides details about a Software Engineer/Senior Member position at D. E. Shaw India Private Limited. The information includes company details, job responsibilities, required skills, experience level, and application instructions. I have extracted the relevant information to populate the output fields.",D. E. Shaw India Private Limited,"Senior, Software Engineer, Full-stack","Gurugram, Haryana, India",Full-stack,"Node.js, Java, Python, ReactJS, HTML5, CSS3, JavaScript",Hybrid,3,5,"1,001-5,000",1,,,100,"Financial Services, large company","Conceptualizing, building, and maintaining high-quality web applications, collaborating with global counterparts and business stakeholders, working with UX designers, participating in code reviews, delivering prototypes and reusable UI components, translating UI/UX designs into functional web pages, troubleshooting technical issues, staying updated with emerging technologies.","Experience with modern web frameworks like ReactJS, responsive web design, HTML5, CSS3, and JavaScript. Experience with Node.js, Java, or Python. Understanding of client/server relationships and software development principles.",Bachelors,"Excellent benefits, casual, collegial working environment, attractive compensation package.","The company builds its own tools and technologies when external platforms don't meet its needs, fostering an entrepreneurial culture. They also have a return-to-work initiative called Recommence.",1,"65% of applicants have a Bachelor of Technology, and 58% are entry-level applicants."
"The job posting is for an Engineer II position at American Express in Gurgaon, Haryana, India. The description details responsibilities related to software development, cloud technologies, and agile methodologies. The posting provides information about the company culture, benefits, and required skills. I have extracted the relevant information to populate the output fields.",American Express,Engineer II,"Gurgaon, Haryana, India",Full-stack,"Java, Spring, REST APIs, microservices, RDBMS, Angular, React, CI/CD, Cloud technologies",Hybrid,3,5,"10,000+",0,,,52,Financial Services,"Software development, cloud technologies, agile methodologies, contacting clients with overdue accounts, preventive work to avoid future overdues, designing high-quality software applications, adopting new technologies, leading with an external perspective, challenging the status quo, delivering the world’s best customer experiences.","Full stack software development using Java 11 or higher with Spring framework, Spring Boot, REST APIs, microservices architecture, RDBMS (Postgres/Oracle or similar), UI design & development using Angular or React, experience with CI/CD, automated testing, alerting & monitoring, application security principles, multi-tier application architectures, test frameworks, SDLC/ AGILE principles, BDD & TDD practices.",Bachelors,"Competitive base salaries, bonus incentives, support for financial-well-being and retirement, comprehensive medical, dental, vision, life insurance, and disability benefits, flexible working model, generous paid parental leave policies, free access to global on-site wellness centers, free and confidential counseling support, career development and training opportunities.","The company emphasizes backing its customers, communities, and employees. It highlights a commitment to innovation, customer experience, and a supportive work environment.",,"84% of applicants have a Bachelor's Degree, and 67% are entry-level applicants."
"The job posting is for a Database Engineer at Morningstar in Gurugram, India. The information provided includes details about the company, job responsibilities, qualifications, and benefits. I have extracted the relevant information to populate the output fields.",Morningstar,Junior Database Engineer,"Gurugram, Haryana, India",AI,SQL,Hybrid,2,3,"10,001+",0,,,100,Financial Services,"Design, develop, and maintain database systems; Optimize database performance; Implement and manage database security; Troubleshoot database issues; Collaborate with developers; Define database standards; Perform backups and disaster recovery; Provide technical guidance.","SQL programming; Database management systems (MySQL, PostgreSQL, SQL Server); Analytical and problem-solving skills; Communication and collaboration abilities.",Bachelors,Hybrid work environment with opportunities for remote work and in-person collaboration; Range of benefits to enhance flexibility; Tools and resources for global collaboration.,Focus on investor success; Entrepreneurial spirit and uncompromising ethics; Opportunity to contribute to a global investment research company.,,45% of applicants have a Bachelor of Technology; 71% of applicants are entry level.
"The job description provides details for a Software Development Engineer I/II position at Editorialist. The information includes company details, job responsibilities, required skills, and qualifications. I will extract these details and populate the corresponding fields.",Editorialist,Junior Software Engineer,"Gurgaon, Haryana, India",AI/Web/Development,"Kafka, SQS, Spring Batch, Storm, Spark",Hybrid,1,2,51-200,12,,,100,"Technology, Information and Media company with 51-200 employees.","Design, develop, and maintain scalable and efficient microservices using Java and Spring Boot. Work with Spring Batch to process large-scale data efficiently. Write unit tests to ensure robust and well-tested services, following best practices for test-driven development (TDD). Set up monitoring and alerting to identify and resolve production issues proactively. Collaborate with cross-functional teams to implement new features and optimize backend performance. Ensure high availability, reliability, and scalability of backend services. Take on new challenges and quickly adapt to emerging technologies with a problem-solving mindset. Get hands-on with new technologies and be open to learning and experimentation.","Proficiency in OOPS oriented language with a strong understanding of microservice architecture. Unit testing expertise, with experience writing test cases using JUnit, Mockito, or similar frameworks. Experience with cloud services (AWS). Strong understanding of relational database fundamentals, message queues [Kafka, SQS]. Knowledge of monitoring and logging tools for production systems. Familiarity with version control systems (e.g., Git) and CI/CD pipelines.",Bachelors,"The company offers a focus on intelligent luxury, personalized experiences, and a blend of technology, content, and styling. They emphasize innovation and a white-glove experience for clients.","Editorialist combines personal styling, editorial content, and shopping into a seamless digital experience powered by proprietary technology and caters to a high-net-worth clientele.",,"66% of applicants have a Bachelor of Technology, and 86% are entry-level applicants."
"The job description provides a comprehensive overview of a Senior Associate Engineer role at Bain & Company. The information includes details about the company, job responsibilities, required skills, qualifications, and company culture. I have extracted the relevant information to populate the output fields accurately.",Bain & Company,"Senior, Engineer, Software Engineer","Gurugram, Haryana, India","AI, Development, Full-stack",".NET, C#, T-SQL, Angular, JavaScript, HTML, CSS, Bootstrap, Microsoft SQL Server, Microsoft Azure Services, XUnit, Jasmine, GitActions, React, Elasticsearch, Coveo, MongoDB, Cosmos, Redis, MemCache, Python, GEN AI",Hybrid,1,3,"10,001+",1,,,100,"Global consultancy with 10,000+ employees, focused on business consulting and services.","Developing and updating enterprise applications, collaborating within an agile team, analyzing user stories, writing unit tests, participating in testing and implementation, providing ongoing support, researching new technologies, and communicating technical findings.","Proficiency in .NET & .NET Core, C#, T-SQL, Angular, JavaScript, HTML, CSS, Bootstrap, Microsoft SQL Server, Microsoft Azure Services, XUnit, Jasmine, GitActions, React, Elasticsearch, Coveo, MongoDB, Cosmos, Redis, MemCache, Python, and GEN AI. Demonstrated knowledge of agile software development methodologies.",Bachelors,"Bain & Company emphasizes client success, innovation, and social responsibility. They invest in pro bono services and have a strong commitment to environmental, social, and ethical performance.","The role offers the opportunity to work on strategic internal software systems, contribute to the evolution of development processes, and share knowledge with the team. Bain & Company's commitment to pro bono services and sustainability is also a unique aspect.",,"56% of applicants have a Bachelor of Technology, and 63% are entry-level applicants."
"The job description is for a Software Engineer role at Stryker, focusing on embedded software development for medical devices. The information provided includes details about the company, job responsibilities, required skills, and company culture. I have extracted the relevant information to populate the output fields.",Stryker,Junior/Mid-level Software Engineer,"Gurugram, Haryana, India",Medical Devices/Embedded Systems,"C/C++, Embedded Linux, Yocto, Buildroot, UART, CAN, TCP/IP, UDP",Hybrid,2,4,52000,1,,,100,Large multinational medical technology company,"Design, develop, enhance, and test software / embedded software for medical and connectivity products. Collaborate with software engineering, quality assurance, and project management teams. Follow design practices and software engineering principles to ensure safe, robust, and user-friendly products.","Programming languages – C/C++, object-oriented design, data structures and algorithms, communication interfaces (Serial/RS232, Ethernet, Wi-Fi, Bluetooth), communication protocols (UART, CAN, CAN-Open, TCP/IP, UDP), software development tools (Compilers & Interpreters, debuggers), static/dynamic analysis tools, memory management tools, code coverage tools, project tracking & defect management tools (JIRA), requirements management tools (Jama, Integrity), configuration management tools (Git/Gitlab, Bitbucket, Perforce).",Bachelors,Stryker is a global leader in medical technologies committed to making healthcare better. They offer innovative products and services and impact over 150 million patients annually. They are a Fortune 500 company and have been recognized as one of the World's Best Workplaces for 7 consecutive years.,"The role involves developing software for medical devices, contributing to improving patient outcomes. Stryker is a leader in the medical technology industry with a strong commitment to innovation and employee well-being.",,"61% of applicants have a Bachelor of Technology degree, and 78% are entry-level applicants."
"The job description provides details for a Production Support Engineer role at PayU. The information includes company details, job responsibilities, technical requirements, and company culture. I've extracted the relevant information to populate the output fields. The salary information is not explicitly mentioned, so those fields will be set to None. The number of applicants is mentioned as ""Over 100"", so I will approximate it to 100.",PayU,Junior Production Support Engineer,"Gurgaon, Haryana, India",Fintech,"SQL, MySQL, MONGO",Hybrid,0,3,"1,001-5,000",12,,,100,"Large enterprise, Fintech company","Providing production support, troubleshooting issues, debugging code, and ensuring the stability of payment platforms.","SQL, MySQL, MONGO, JAVA, Python, PHP, Shell Scripting, Node.JS, JavaScript, UNIX/ LINUX, Web-application / MOBILE debugging skills.",Bachelors,"PayU emphasizes diversity, inclusion, and a safe work environment. They are committed to creating a transparent, flexible, and unbiased culture where employees feel valued and empowered.",PayU is a global fintech investor with a focus on building a world without financial borders. They have invested over $1 billion in the fintech space and process approximately 10 million payments daily.,,"49% of applicants have a Bachelor of Technology, and 64% are entry-level applicants."
"The job posting is for an Engineer II position at Aristocrat, a gaming and entertainment company. The role involves developing C++ based games. The posting provides details about the required skills, experience, and company culture.",Aristocrat,Engineer II,"Gurugram, Haryana, India",AI/Gaming/Development,"C++, GDB, Visual Studio, Agile Scrum",Hybrid,0,3,"5,001-10,000",1,,,73,Large multinational gaming company,"Developing C++ based games, adhering to software quality guidelines, debugging, and potentially contributing to Agile Scrum methodologies.","C++, GDB, Visual Studio, Data Structures, Linux environment, Agile Scrum (preferred).",Bachelors,"Robust benefits package, global career opportunities, diverse and inclusive work environment, focus on employee wellbeing and development, commitment to responsible gameplay and sustainability.","Opportunity to work for a world leader in gaming entertainment, contribute to the development of innovative games, and be part of a diverse and inclusive team.",,Majority of applicants have a Bachelor's degree and are entry-level.
"The job posting provides a detailed description of a Software Engineer role at NatWest Group in Gurugram, Haryana, India. The information includes the company overview, job responsibilities, required skills, and company culture. I've extracted the relevant details to populate the output fields.",NatWest Group,Associate Software Engineer,"Gurugram, Haryana, India",Full-stack,"ETL, .Net, DevOps, Agile methodology",Hybrid,5,7,"10,001+",0,,,16,"Large enterprise, banking","Engineering and maintaining software solutions, collaborating with engineers and business analysts, designing, testing, and implementing code, working across the software development lifecycle.","Experience with development and testing tools, bug tracking tools, wikis, ETL, .Net, DevOps, Agile methodology, and solving complex analytical and numerical problems.",Bachelors,"The company emphasizes a dynamic learning culture, commitment to climate solutions, and creating a great place to work. They offer flexible working options (hybrid) and prioritize enterprise, learning, and climate initiatives.","The company is focused on driving change for communities in enterprise, learning, and climate, and aims to be climate positive by 2025.",,"81% of applicants have a Bachelor's Degree, and 69% are entry-level applicants."
"The job description provides detailed information about a DevOps Engineer role at BlackRock. I have extracted the relevant details to populate the output fields, focusing on key aspects like experience, skills, location, and company information. The provided text includes details about the company culture, benefits, and a general overview of the role's responsibilities.",BlackRock,Senior DevOps Engineer,"Gurgaon, Haryana, India",Cloud Computing/DevOps,"Kubernetes, Linux, Python, AWS, Azure, CI/CD, SRE",Hybrid,8,12,"10,001+",0,,,100,Global Asset Manager and Technology Provider,"Lead system operations between cloud and on-premises IT UNIX infrastructure, engineer and administer services on Azure/AWS, develop automated tools, analyze cloud native tools, support 12,000+ hosts running RHEL, review vulnerability reports, server builds, monitoring, configuration, maintenance, provide support for customers, maintain server availability, participate in DR exercises, resolve critical issues, troubleshoot system issues, participate in UNIX related projects, monitor servers, remediate alerts, follow documented processes, and maintain clear communication.","Extensive knowledge of RHEL, experience in Cloud Environments (Azure preferred), Kubernetes/containers experience, strong proficiency in coding/scripting (Python, Go, Perl, Java), familiarity with modern DevOps/CI/CD/SRE principles, proven track record in Build/Kickstart/Deploy processes & configuration management (Puppet), expertise in Volume Management and Clustering (LVM, VxFS, VCS & VVR), understanding of server hardware (HPE, Dell), knowledge of network services (TCP/IP, NFS, DNS, LDAP, FTP, NTP, Samba, Autofs), skills in security and performance monitoring and analysis, conceptual understanding of storage and networking components.",Bachelors,"BlackRock offers a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents, and Flexible Time Off (FTO). The company promotes a hybrid work model with at least 4 days in the office per week, fostering collaboration and apprenticeship.","The role involves supporting a large-scale UNIX environment (12,000+ hosts) across both on-prem and cloud infrastructure. BlackRock emphasizes a culture of collaboration, apprenticeship, and financial well-being.",,"47% of applicants have a Bachelor of Technology, and 55% are at the Senior level."
"The job posting is for a Design Engineer - Instrumentation & Controls at Siemens Energy in Gurugram, Haryana, India. The posting provides details about the role, responsibilities, required skills, and company information. I will extract the relevant information and populate the output fields accordingly.",Siemens Energy,Junior Design Engineer Instrumentation & Controls,"Gurugram, Haryana, India",Energy,"Instrumentation, Controls, P&ID, SCADA, COMOS PT",Hybrid,1,3,"100,000+",0,,,4,Large multinational energy technology company,"Design and specify Unit Control Systems and Low Voltage Wiring systems. Preparing Instrument datasheets, P&ID´s, Instrument List and wiring Diagrams. Creation of export files. Innovate and implement cost-effective solutions for COMOS PT development.","Application experience with objects-oriented Engineering Software e.g., COMOS PT. Know how of standards: API 670, IEC 60079, DIN EN 60617.",Bachelors,Remote working arrangements (up to 2 days/week). Medical insurance with family floater cover. Meal card option. Flexi Pay for tax optimization. Focus on diversity and inclusion.,Opportunity to work on energy systems for the future and contribute to a more sustainable world. Focus on innovation and decarbonization.,,67% of applicants have a Bachelor's Degree. 33% of applicants are at a Senior level.
"The job description provides a comprehensive overview of a Senior Full Stack Engineer position at dunnhumby. The information includes details about the company, job responsibilities, required skills, benefits, and company culture. I have extracted the relevant information to populate the output fields.",dunnhumby,Senior Full-Stack Engineer,"Gurgaon, Haryana, India","AI, Data Science, Full-Stack Development","SQL, .net core, microservices, CI/CD, Agile methodologies",Hybrid,5,8,"1,001-5,000",1,,,64,"Large enterprise, technology company","Design, development, and delivery of robust software solutions. Working closely with product managers. Fixing and improving live issues. Writing unit tests and refactoring code.",Strong experience in C# and Javascript frameworks (Angular or React). Experience with SQL databases. Knowledge of .net core and microservices. Experience with CI/CD and Agile methodologies.,Bachelors,"Comprehensive rewards package, flexible working hours, birthday off, investment in cutting-edge technology, diverse and inclusive culture with thriving networks (dh Gender Equality Network, dh Proud, dh Family, dh One, dh Thrive).","Focus on customer data science, commitment to diversity and inclusion, flexible working options, and a nimble, small-business feel within a large enterprise.",,68% of applicants have a Bachelor of Technology. 59% of applicants are entry-level.
"The job description is for an IT Infrastructure Engineer - DevOps role at 39k Group, a crypto trading firm. The description details responsibilities around building and maintaining backend systems, managing Linux systems, and working with data pipelines. The information provided allows for extraction of all requested fields.",39k Group,"Senior, IT Infrastructure, Engineer","Gurugram, Haryana, India",AI,"InfluxDB, QuestDB",Hybrid,3,7,11-50,0,,,23,"Investment Management, 11-50 employees","Design, build, and maintain backend services that support trading systems and internal tooling. Develop and maintain APIs, real-time services, and internal dashboards. Architect and implement process automation. Manage Linux-based systems. Work with quant teams to ensure robust data pipelines and monitoring tools. Build scalable components for integrations with trading venues and time-series databases.","Python, Node.js, shell scripting, Linux systems management, time-series databases (InfluxDB, QuestDB), APIs, real-time services.",Bachelors,"Hybrid work model (11 WFH days/month), outcome-linked compensation, fast-moving, execution-first culture.","Working for India's largest crypto trading firm, direct impact on PnL, lean team with end-to-end accountability.",,"67% of applicants have a Bachelor's Degree, 84% are entry-level applicants."
"The job description is for a Commercial Application Engineer role at Baker Hughes. The description details responsibilities related to proposal management, technical and commercial aspects of sales, and collaboration with various teams. The required experience is 6+ years in the energy industry with a Bachelor's degree. The company provides details about its culture, benefits, and commitment to innovation.",Baker Hughes,Senior Commercial Application Engineer,"Gurgaon, Haryana, India",Energy Technology,"Instrumentation, Rotating Machines, Plant C&I",Hybrid,6,8,"10,001+",1,,,87,Large energy technology company,"Handling techno-commercial aspects of proposal management, collaborating with sales and engineering teams, developing solutions to meet customer requirements, interfacing with product teams, and measuring proposal performance.","Understanding of Industrial Equipment, Plant C&I, HW/SW/Instrumentation solutions for rotating machines. Basic knowledge of commercial aspects, costing, margins, terms and conditions, and negotiation is a plus.",Bachelors,"Contemporary work-life balance policies, wellbeing activities, comprehensive private medical care, safety net of life insurance and disability programs, tailored financial programs, and additional elected or voluntary benefits. The company emphasizes innovation, progress, and employee development.","The role involves a blend of technical and commercial skills, focusing on proposal management and customer solutions within the energy technology sector. The company highlights its commitment to sustainability and innovation.",,"39% of applicants have a Bachelor of Technology, and 47% are entry-level."
"The job posting is for a Senior Design Engineer - Mechanical at Jacobs, focusing on water and wastewater treatment plant design. The information provided is comprehensive, detailing responsibilities, technical requirements, and company culture. I have extracted the relevant details to populate the output fields.",Jacobs,"Senior Engineer, Mechanical","Gurgaon, Haryana, India",Engineering,"Piping design, Water treatment, Wastewater treatment, Hydraulic calculations, AutoCAD, Plant Hydraulics, 3D Modeling",Hybrid,7,10,"10,001+",1,,,67,Large multinational engineering and consulting firm,"Technical competence, independent problem-solving, report preparation, applying new ideas, on-the-job training, adherence to procedures, project completion, teamwork, communication, presentations, mentoring, quality assurance.","Experience in design for water/wastewater industry, knowledge of relevant codes and standards (IS, AWWA, ASME, etc.), piping design expertise, hydraulic calculations, proficiency in AutoCAD and 3D modeling software (Revit/Plant 3D, Navisworks), knowledge of plant hydraulics software (Fathom, Water Gems, Water Hammer, SAP).",Bachelors,"Collaboration, flexible working arrangements, extended leave options, social, health, and wellbeing events, focus on employee growth and work-life balance, commitment to diversity, equity, inclusion, environmental sustainability, and social impact.","Focus on solving complex global challenges, commitment to innovation and sustainability, emphasis on employee wellbeing and growth, hybrid work model.",,"40% of applicants have a Bachelor of Technology, 48% are at the Senior level."
"The job description provides a comprehensive overview of a Full Stack Software Engineer position at NPS Prism, a company associated with SourcingXPress. The information includes details about the company, job responsibilities, required skills, experience level, salary range, and company culture. I have extracted the relevant information to populate the output fields.",NPS Prism (associated with SourcingXPress),"Seniority: Junior, Title: Full-stack, Role: Engineer","Gurgaon, Haryana, India",Full-stack,".NET, C#, Typescript, React.js, RESTful APIs, microservices, CI/CD, Docker, Kubernetes, Entity Framework",Hybrid,1,4,11-50,1,500000,1200000,100,"Product B2B SAAS, Bootstrapped, Enterprise","Develop and maintain modern web applications using React.js, C#, and .NET 8. Design, build, and optimize RESTful APIs and microservices. Implement responsive UI components. Collaborate with UX/UI designers. Ensure scalability, security, and performance. Utilize CI/CD pipelines. Write unit, integration, and automated tests. Collaborate in an Agile environment. Stay up to date with the latest technologies.","Proficiency in .Net 8 Web API with C#, including middleware, dependency injection and Entity Framework. Proficiency in React.js, typescript, including hooks, context API, and functional component lifecycle. Experience with front-end state management using react hooks. Hands-on experience with Azure, AWS, or Google Cloud. Knowledge of Docker and Kubernetes. Proficiency in version control systems (Git, GitHub, GitLab, or Bitbucket).",Bachelors,"The company emphasizes transparency, efficiency, and human connection in its hiring process. It offers advanced candidate-matching algorithms and real-time updates for job seekers. It fosters a community-driven ecosystem focused on empowering people through meaningful connections and cutting-edge technology.",The job is with a company building the largest startup owned by Bain & Company. The platform provides transparency to job seekers by tracking recruiter actions.,,79% of applicants are entry level. 64% have a Bachelor of Technology.
"The job description provides details about a Pre-Sales Engineer position at Motorola Solutions. The information includes company overview, job description, basic requirements, and details about the work environment. I have extracted the relevant information to populate the output fields.",Motorola Solutions,Junior Pre-Sales Engineer,"Gurgaon, Haryana, India",Telecommunications,"Two-way Radio systems, Trunking radio systems, Digital radio systems (APCO, TETRA & MotoTRBO), Communications Control Centers, Signaling & Remote Control Systems, Wireless Mobile Data Systems, Computer Aided Dispatching Systems, Automatic Number-Plate Recognition, broadband PTT",Hybrid,3,4,"10,001+",2,,,100,"Large company with over 10,000 employees","Providing technical advice on communications systems and products, developing engineering responses for proposals and tenders, conducting technical presentations and training, designing and planning radio communications system infrastructure solutions, identifying local vendors for software solutions, developing vertical market knowledge.","Experience with Two-way Radio systems, Trunking radio systems, Digital radio systems (APCO, TETRA & MotoTRBO), Communications Control Centers, Signaling & Remote Control Systems, Wireless Mobile Data Systems, Computer Aided Dispatching Systems, Automatic Number-Plate Recognition, broadband PTT. RF engineering experience is preferred.",Bachelors,"People-first and community-focused culture, inclusive and accessible recruiting experience, commitment to diversity and inclusion.","Focus on building safer communities, schools, hospitals, and businesses through critical communications and video security technologies.",,"50% of applicants are at the senior level, 33% have a Bachelor of Technology degree."
"The job posting is for a Support Engineer role at SoftwareOne. The information provided includes details about the company, job responsibilities, required skills, and experience. I've extracted the relevant information to populate the output fields.",SoftwareOne,Junior Support Engineer,"Gurgaon, Haryana, India",IT Services,"API, POSTMAN, Python",Hybrid,2,5,"5,001-10,000",0,,,100,"Large enterprise (5,001-10,000 employees), publicly traded","Providing Tier 2 Technical Support, analyzing issues, reproducing customer issues, proposing improvements to the web platform, supervising production application health, collaborating with the Marketplace Platform organization, case management within defined SLAs, and reviewing customer-facing documents.","Deep level debugging, using 3rd party tools to interrogate application behavior via APIs, experience with ticketing systems, experience working with APIs, tools such as POSTMAN and advantage, development experience, prior experience in non compiled languages such as Python, knowledge of SAAS products, prior experience with e-commerce platforms, and understanding of sales terminology.",Bachelors,The job posting does not explicitly mention benefits or company culture.,The role requires working in rotational shifts (4PM – 1AM) local time.,,"67% of applicants have a Bachelor's Degree, and 71% are entry-level applicants."
"The job description provides a comprehensive overview of a Network Automation Engineer role at Ameriprise Financial Services. The information includes details about the company, job responsibilities, required skills, and qualifications. I have extracted the relevant information to populate the output fields accurately.","Ameriprise Financial Services, LLC",Senior Network Automation Engineer,"Gurugram, Haryana, India",IT/Networking/Cloud,".Net Framework, C#, Web Services, SQL, Shell Scripting, Python, Ansible, Terraform, Kubernetes, Jenkins, XSOAR, Cisco Wireless, Route/Switching Protocols, SDWAN, F5, Palo Alto Firewall, AWS, Azure, ACI, Meraki, DNS/DHCP/IP Management",Hybrid,3,5,"5,001-10,000",1,,,49,"Financial Services, Large Enterprise","Designing, coding, testing, implementing, maintaining, and supporting Vantage-One based applications. Collaborating with business partners and technology teams. Supporting complex network technologies. Troubleshooting and diagnosing system problems. Recommending and implementing preventative maintenance and upgrades. Writing and modifying code. Maintaining and modifying programs. Providing production support.","Proficiency in .Net Framework, C#, Web Services, SQL, Shell Scripting, Python. Experience with automation tools like Ansible, Terraform, Kubernetes, Jenkins, XSOAR. Knowledge of network technologies including Cisco Wireless, Route/Switching Protocols, SDWAN, F5, Palo Alto Firewall, AWS, Azure, ACI, Meraki. Experience with network security technologies.",Bachelors,"Inclusive and collaborative culture, opportunities for professional development, focus on ethical practices, and community involvement.",The role involves working with a global financial services company with a long history and a commitment to innovation. The position offers the opportunity to contribute to the development and maintenance of critical network infrastructure.,,"66% of applicants are entry-level, and 47% have a Bachelor of Technology degree."
"The job description provides a comprehensive overview of an Application Security Engineer role at Payoneer. The information includes details about the company, job responsibilities, required skills, and experience. I've extracted the relevant information to populate the output fields accurately. The employee count is estimated from the provided text. The posting date is estimated as 19 hours ago, which translates to less than a week. Salary information is not explicitly provided.",Payoneer,Senior Application Security Engineer,"Gurugram, Haryana, India",Fintech,"TCP/IP, firewalls, VPNs, IDS/IPS, SAST, CSA, DAST, Kubernetes, cloud security",Hybrid,5,8,1001-5000,0,,,100,Large company (1001-5000 employees) in the financial technology industry.,"Reviewing and approving secure architecture designs, providing technical guidance, overseeing the SSDLC, managing vulnerability processes, serving as a subject matter expert, leading incident handling, and aligning with global cyber operations.","Experience in security architecture, software development, cloud security, networking knowledge (TCP/IP, firewalls, VPNs, IDS/IPS), CI/CD workflows, cloud computing platforms (AWS, Azure, Google Cloud), and cloud security principles.",Bachelors,"The company emphasizes customer partnership, continuous improvement, accountability, and mutual support. They are committed to diversity and inclusion.",The role involves aligning with global cyber operations and contributing to the overall security posture of a fintech company focused on enabling cross-border commerce for SMBs.,,"52% of applicants are at the senior level, and 37% have a Bachelor of Technology degree."
"The job posting is for a Quality Engineer - Data at IBM in Gurgaon, Haryana, India. The posting details the responsibilities, required skills, and preferred education. I've extracted the relevant information to populate the output fields. The salary information is not explicitly mentioned, so those fields will be null. The number of applicants is stated as ""Over 100 people clicked apply"", so I will approximate it to 100.",IBM,Junior Quality Engineer-Data,"Gurgaon, Haryana, India",AI,"SQL, Azure Databricks",Hybrid,0,5,"10,001+",2,,,100,Large IT Services and Consulting company,"Team player, training others, strong communication and collaboration skills.","Able to write complex SQL queries, experience in Azure Databricks.",Masters,Not explicitly mentioned in the provided text.,Focus on innovation and creating solutions through technology.,,"45% of applicants have a Bachelor of Technology, and 63% are entry-level."
